email_id,client_id,date,emails_sent,open_rate,click_rate,subject_line
E46470,C106,2024-12-14,11165,0.44,0.13,Secured 24hour moderator store
E62752,C101,2024-12-14,47285,0.44,0.06,Front-line directional encryption catch
E001,C101,2024-12-14,10923,0.29,0.13,Ergonomic systemic knowledge user from
E55971,C101,2024-12-14,33634,0.23,0.06,De-engineered scalable utilization big
E59122,C105,2024-12-14,30561,0.32,0.12,Quality-focused stable instruction set player
E84303,C105,2024-12-14,19083,0.45,0.23,Diverse content-based knowledge user happy
E89455,C105,2024-12-14,21870,0.47,0.07,User-friendly background benchmark next
E16653,C111,2024-12-14,19523,0.45,0.15,User-friendly fault-tolerant Graphic Interface view
E35308,C102,2024-12-15,45563,0.5,0.18,Up-sized 24hour application him
E003,C103,2024-12-15,47215,0.21,0.08,Centralized bi-directional infrastructure organization
E70329,C103,2024-12-15,41650,0.5,0.16,Networked impactful policy style
E16653,C111,2024-12-15,39613,0.47,0.21,Horizontal attitude-oriented conglomeration ground
E88153,C111,2024-12-15,12843,0.25,0.07,Reverse-engineered non-volatile secured line southern
E37944,C111,2024-12-15,39291,0.37,0.14,Synergistic contextually-based superstructure action
E15700,C108,2024-12-15,12387,0.45,0.23,Monitored asymmetric paradigm us
E79086,C108,2024-12-16,30718,0.42,0.19,Expanded attitude-oriented frame nor
E74019,C102,2024-12-16,20683,0.4,0.11,Optimized discrete system engine weight
E38308,C102,2024-12-16,27611,0.29,0.11,Phased real-time attitude civil
E98611,C101,2024-12-16,48827,0.33,0.07,Managed incremental paradigm computer
E99997,C101,2024-12-16,25484,0.42,0.23,Cross-group impactful functionalities whatever
E15746,C104,2024-12-16,22794,0.26,0.05,Enterprise-wide even-keeled emulation single
E28718,C103,2024-12-16,36236,0.3,0.09,Reactive systemic Graphical User Interface toward
E58805,C106,2024-12-17,45088,0.22,0.08,Managed dedicated emulation indicate
E62515,C106,2024-12-17,35335,0.48,0.1,Visionary eco-centric encoding hotel
E61448,C110,2024-12-17,17014,0.47,0.05,Down-sized encompassing contingency garden
E89455,C105,2024-12-17,29196,0.3,0.13,Function-based transitional firmware focus
E21620,C105,2024-12-17,49760,0.27,0.06,Face-to-face asymmetric middleware feeling
E46572,C112,2024-12-17,49647,0.39,0.17,Customer-focused radical infrastructure quickly
E001,C101,2024-12-17,48253,0.27,0.07,Adaptive intangible contingency finally
E49979,C113,2024-12-18,25540,0.37,0.18,Phased 6thgeneration budgetary management low
E55971,C101,2024-12-18,18154,0.28,0.06,Persistent exuding instruction set prevent
E27435,C101,2024-12-18,49465,0.3,0.07,Robust stable challenge budget
E001,C101,2024-12-18,19630,0.21,0.1,Open-source empowering strategy so
E37757,C104,2024-12-18,34615,0.48,0.23,Enterprise-wide system-worthy hardware also
E72496,C104,2024-12-18,10760,0.46,0.09,Expanded value-added capacity truth
E18468,C104,2024-12-18,18248,0.39,0.1,Adaptive bottom-line customer loyalty summer
E90243,C112,2024-12-18,40059,0.37,0.1,Multi-channeled optimal standardization example
E94429,C112,2024-12-18,38371,0.26,0.07,Integrated solution-oriented knowledgebase strategy
E88095,C112,2024-12-18,42015,0.37,0.11,Total maximized functionalities else
E28479,C111,2024-12-18,48652,0.39,0.14,Pre-emptive full-range product son
E30475,C103,2024-12-19,15796,0.48,0.08,Monitored 3rdgeneration middleware garden
E43659,C103,2024-12-19,15561,0.29,0.12,Face-to-face leadingedge data-warehouse our
E78393,C103,2024-12-19,22961,0.49,0.08,Enhanced 24hour conglomeration able
E84180,C112,2024-12-19,42383,0.28,0.06,Phased cohesive task-force say
E29135,C113,2024-12-19,45993,0.31,0.06,Enterprise-wide mobile framework member
E76152,C113,2024-12-19,46005,0.45,0.14,Open-architected dynamic paradigm author
E89686,C113,2024-12-19,17505,0.44,0.22,Total real-time moderator cell
E34372,C106,2024-12-20,17482,0.38,0.14,Profit-focused web-enabled matrix notice
E62515,C106,2024-12-20,29332,0.41,0.23,Upgradable intermediate help-desk cold
E59829,C113,2024-12-20,15846,0.22,0.09,Ergonomic background open architecture then
E40191,C101,2024-12-20,27960,0.28,0.14,Sharable exuding hub pull
E55971,C101,2024-12-20,38423,0.44,0.17,Profound executive hierarchy network
E27435,C101,2024-12-20,47461,0.46,0.11,Function-based clear-thinking protocol manager
E82790,C108,2024-12-20,18676,0.24,0.08,Synergized local complexity guess
E36554,C108,2024-12-21,18426,0.43,0.06,Extended eco-centric product such
E36554,C108,2024-12-21,33868,0.25,0.13,Open-source global implementation popular
E25385,C113,2024-12-21,24794,0.2,0.05,Integrated motivating open architecture standard
E25488,C112,2024-12-21,39520,0.27,0.09,Robust disintermediate structure point
E79671,C107,2024-12-21,23206,0.42,0.17,Cross-group cohesive methodology administration
E22562,C107,2024-12-21,36440,0.3,0.1,Decentralized multi-state attitude such
E30475,C103,2024-12-21,39306,0.46,0.11,Polarized holistic matrix water
E43659,C103,2024-12-22,34547,0.49,0.21,Distributed solution-oriented system engine mother
E35642,C103,2024-12-22,12217,0.37,0.07,Organized national open system executive
E70653,C105,2024-12-22,40207,0.34,0.14,Assimilated asynchronous encoding health
E29493,C111,2024-12-22,30677,0.48,0.2,Switchable client-server methodology relate
E83699,C107,2024-12-22,35481,0.47,0.14,Expanded 5thgeneration adapter face
E40191,C101,2024-12-22,37188,0.23,0.06,Visionary responsive structure number
E29493,C111,2024-12-23,13831,0.49,0.28,Re-engineered asymmetric circuit organization
E29493,C111,2024-12-23,20416,0.37,0.06,Customizable analyzing instruction set arrive
E28198,C107,2024-12-23,49045,0.42,0.2,Optimized stable website expect
E99683,C107,2024-12-23,29381,0.25,0.09,Customer-focused well-modulated hub beautiful
E51968,C107,2024-12-23,26430,0.32,0.11,Sharable holistic Local Area Network on
E30475,C103,2024-12-23,37265,0.4,0.12,Profit-focused grid-enabled project future
E70526,C103,2024-12-23,37416,0.3,0.14,Secured interactive forecast lose
E56780,C103,2024-12-23,42410,0.44,0.15,Organized actuating hub feeling
E44450,C110,2024-12-23,29352,0.39,0.13,Ergonomic coherent array final
E44450,C110,2024-12-23,45469,0.32,0.16,Secured reciprocal superstructure mean
E002,C102,2024-12-23,32816,0.2,0.06,Upgradable hybrid collaboration eight
E002,C102,2024-12-23,31708,0.31,0.07,Digitized zero-defect attitude campaign
E35308,C102,2024-12-23,38468,0.29,0.07,Function-based zero tolerance attitude local
E90243,C112,2024-12-24,41198,0.45,0.21,Progressive next generation parallelism impact
E73642,C112,2024-12-24,46720,0.43,0.16,Managed interactive alliance whose
E67358,C101,2024-12-24,20888,0.22,0.1,Balanced leadingedge initiative particularly
E42414,C101,2024-12-24,29894,0.5,0.15,Compatible even-keeled productivity see
E001,C101,2024-12-24,38068,0.26,0.13,Switchable tertiary concept growth
E70738,C110,2024-12-24,34595,0.34,0.09,Ameliorated scalable functionalities recognize
E81462,C110,2024-12-24,22185,0.3,0.08,Switchable scalable artificial intelligence which
E18533,C110,2024-12-24,41973,0.41,0.12,Robust client-server product approach
E89686,C113,2024-12-25,20986,0.26,0.1,Optional methodical capability four
E63506,C110,2024-12-25,26896,0.38,0.17,Sharable client-driven function beat
E83290,C110,2024-12-25,44775,0.41,0.09,Streamlined needs-based help-desk similar
E34372,C106,2024-12-25,49423,0.38,0.18,Polarized tertiary focus group tough
E36089,C106,2024-12-26,38668,0.38,0.1,Profit-focused value-added strategy term
E15700,C108,2024-12-26,24027,0.29,0.08,Ergonomic multi-tasking installation see
E74428,C108,2024-12-26,48456,0.21,0.06,Synchronized user-facing encoding conference
E60007,C113,2024-12-26,15413,0.28,0.12,Compatible global instruction set especially
E20530,C113,2024-12-26,20319,0.22,0.07,Digitized heuristic flexibility exactly
E10656,C113,2024-12-26,10073,0.44,0.17,Managed discrete Local Area Network business
E37944,C111,2024-12-27,40311,0.43,0.2,Team-oriented impactful frame must
E37944,C111,2024-12-27,34983,0.22,0.1,Multi-tiered background protocol believe
E87167,C106,2024-12-27,14929,0.21,0.1,Organized 3rdgeneration orchestration to
E77708,C106,2024-12-27,12938,0.32,0.1,Fundamental discrete protocol onto
E99683,C107,2024-12-28,25503,0.43,0.18,Expanded zero tolerance concept together
E99683,C107,2024-12-28,49364,0.5,0.09,Inverse bi-directional pricing structure practice
E83290,C110,2024-12-28,12125,0.29,0.05,Fully-configurable exuding software conference
E44450,C110,2024-12-28,34542,0.23,0.11,Upgradable exuding capacity least
E82717,C110,2024-12-28,37633,0.28,0.16,Re-engineered 4thgeneration function service
E82026,C105,2024-12-28,29391,0.23,0.09,Inverse modular structure throughout
E001,C101,2024-12-28,22654,0.35,0.1,Digitized systemic concept apply
E98386,C112,2024-12-29,12853,0.48,0.07,Mandatory human-resource moratorium herself
E12356,C108,2024-12-29,34015,0.37,0.12,Organic incremental throughput ground
E46176,C108,2024-12-29,47848,0.4,0.08,Re-engineered local leverage three
E50347,C108,2024-12-29,11655,0.44,0.05,Cross-platform web-enabled strategy kitchen
E36437,C101,2024-12-29,48569,0.42,0.18,Reactive cohesive budgetary management account
E27435,C101,2024-12-29,17167,0.21,0.11,Reduced intangible intranet third
E93527,C111,2024-12-29,40998,0.44,0.19,Team-oriented global synergy generation
E93527,C111,2024-12-29,13251,0.21,0.08,Expanded human-resource intranet that
E93174,C113,2024-12-29,47423,0.37,0.07,Sharable web-enabled budgetary management listen
E20530,C113,2024-12-29,36412,0.36,0.11,Universal client-server project cup
E10656,C113,2024-12-29,10002,0.27,0.12,Ergonomic analyzing portal professor
E29493,C111,2024-12-30,41276,0.36,0.08,De-engineered multi-state matrices already
E16653,C111,2024-12-30,15812,0.48,0.2,Reactive composite circuit try
E81462,C110,2024-12-30,19015,0.37,0.11,Progressive stable projection nor
E91792,C110,2024-12-30,40819,0.2,0.08,Cloned fault-tolerant definition care
E12607,C110,2024-12-30,46336,0.3,0.08,Streamlined asymmetric success occur
E86267,C101,2024-12-30,41536,0.35,0.15,Cross-group 3rdgeneration toolset gas
E83730,C101,2024-12-30,23582,0.45,0.2,Cross-platform contextually-based orchestration recent
E38308,C102,2024-12-30,28745,0.22,0.09,Polarized tertiary flexibility air
E002,C102,2024-12-30,24811,0.28,0.06,Assimilated heuristic methodology forward
E002,C102,2024-12-30,22428,0.28,0.06,Reverse-engineered user-facing frame recent
E58805,C106,2024-12-30,26243,0.43,0.25,Re-engineered hybrid Internet solution forward
E98831,C106,2024-12-30,47750,0.27,0.06,Future-proofed bi-directional help-desk choose
E78248,C106,2024-12-30,27116,0.45,0.17,Balanced transitional definition life
E59829,C113,2024-12-31,19037,0.24,0.11,Advanced didactic moderator site
E12966,C113,2024-12-31,35705,0.28,0.13,Fully-configurable context-sensitive strategy leader
E12075,C112,2024-12-31,38447,0.32,0.15,Face-to-face logistical frame contain
E73642,C112,2024-12-31,48842,0.31,0.16,Reverse-engineered discrete task-force artist
E75278,C109,2024-12-31,27723,0.27,0.1,Open-architected mobile challenge pass
E10934,C109,2024-12-31,43795,0.48,0.1,Configurable didactic instruction set second
E002,C102,2024-12-31,43337,0.32,0.14,Distributed static focus group such
E14211,C102,2024-12-31,44097,0.27,0.06,Ergonomic client-driven policy matter
E56622,C111,2024-12-31,25514,0.25,0.11,Optional 24/7 moratorium particularly
E31334,C103,2025-01-01,11789,0.22,0.09,Organic executive collaboration why
E52750,C103,2025-01-01,36373,0.37,0.06,Enterprise-wide multi-state hardware again
E10934,C109,2025-01-01,37983,0.48,0.11,Business-focused exuding support sing
E10934,C109,2025-01-01,35802,0.22,0.07,Integrated fault-tolerant projection Congress
E62689,C109,2025-01-01,19877,0.27,0.08,Multi-lateral global complexity understand
E53148,C108,2025-01-01,47743,0.32,0.07,Profit-focused discrete Graphical User Interface low
E25215,C107,2025-01-01,48361,0.41,0.05,Upgradable clear-thinking contingency evidence
E73082,C107,2025-01-01,13822,0.46,0.06,Function-based reciprocal conglomeration result
E002,C102,2025-01-01,13559,0.38,0.12,Business-focused eco-centric initiative quickly
E61453,C102,2025-01-01,29825,0.49,0.12,Profit-focused regional data-warehouse control
E35308,C102,2025-01-01,29709,0.4,0.09,Synergistic multimedia challenge become
E98386,C112,2025-01-02,19399,0.38,0.1,Compatible even-keeled task-force trial
E25488,C112,2025-01-02,20932,0.44,0.12,Horizontal uniform middleware treat
E50347,C108,2025-01-02,44476,0.49,0.1,Phased zero tolerance methodology answer
E36582,C102,2025-01-02,27539,0.35,0.07,Re-contextualized contextually-based secured line to
E20627,C104,2025-01-02,49792,0.49,0.13,Operative 6thgeneration functionalities painting
E25385,C113,2025-01-02,14775,0.23,0.09,Business-focused discrete artificial intelligence garden
E25385,C113,2025-01-02,34393,0.33,0.17,Face-to-face 5thgeneration open system care
E49979,C113,2025-01-02,42178,0.32,0.13,Organic eco-centric open architecture them
E73642,C112,2025-01-03,10691,0.39,0.09,Stand-alone clear-thinking approach night
E90243,C112,2025-01-03,20863,0.41,0.23,Public-key attitude-oriented open system mind
E16452,C112,2025-01-03,28080,0.28,0.14,Upgradable logistical hardware stage
E13283,C105,2025-01-03,16361,0.38,0.1,Down-sized solution-oriented solution part
E51391,C105,2025-01-03,36203,0.35,0.08,Business-focused optimizing benchmark pull
E44226,C105,2025-01-03,17344,0.39,0.19,Centralized non-volatile open system art
E56780,C103,2025-01-03,14409,0.29,0.08,Decentralized bandwidth-monitored functionalities case
E81889,C103,2025-01-03,27596,0.45,0.12,Front-line modular utilization step
E30475,C103,2025-01-03,46473,0.48,0.09,Stand-alone optimal frame measure
E96070,C106,2025-01-03,26951,0.42,0.09,Optimized heuristic functionalities enjoy
E41914,C106,2025-01-03,44933,0.29,0.12,Public-key systemic flexibility major
E63193,C107,2025-01-03,11359,0.23,0.1,Exclusive radical database good
E29135,C113,2025-01-04,42372,0.32,0.2,Multi-channeled analyzing policy be
E60007,C113,2025-01-04,26027,0.34,0.07,Triple-buffered even-keeled definition oil
E59829,C113,2025-01-04,27070,0.3,0.15,Persistent cohesive concept move
E31334,C103,2025-01-04,17792,0.39,0.09,Digitized national knowledge user all
E56876,C101,2025-01-04,48658,0.26,0.13,Synergistic uniform infrastructure them
E67358,C101,2025-01-04,17802,0.45,0.2,Operative system-worthy intranet window
E35308,C102,2025-01-04,25984,0.45,0.17,Reactive stable middleware commercial
E80113,C108,2025-01-04,12790,0.21,0.06,Balanced reciprocal archive produce
E42429,C108,2025-01-04,14229,0.26,0.15,Right-sized asymmetric pricing structure across
E69175,C109,2025-01-04,38119,0.21,0.08,Profound intermediate array girl
E62689,C109,2025-01-04,13092,0.34,0.18,Programmable eco-centric algorithm day
E52241,C109,2025-01-04,38537,0.25,0.07,Fully-configurable contextually-based encryption cup
E88153,C111,2025-01-04,18362,0.43,0.21,Horizontal executive emulation quality
E28479,C111,2025-01-04,29631,0.29,0.08,Stand-alone web-enabled methodology kind
E47909,C106,2025-01-05,18730,0.32,0.06,Organized contextually-based array two
E41914,C106,2025-01-05,34498,0.31,0.05,Polarized demand-driven alliance else
E59976,C106,2025-01-05,30241,0.26,0.08,Automated value-added Graphic Interface natural
E56283,C112,2025-01-05,18379,0.24,0.11,Compatible secondary alliance capital
E81627,C111,2025-01-05,34649,0.26,0.09,Enhanced upward-trending application weight
E10656,C113,2025-01-05,39480,0.43,0.06,Diverse bifurcated middleware traditional
E93174,C113,2025-01-05,44698,0.43,0.14,Compatible modular neural-net attention
E63687,C107,2025-01-05,15637,0.47,0.25,Automated grid-enabled hierarchy such
E17362,C107,2025-01-05,25601,0.31,0.14,Open-architected multi-state toolset pattern
E53148,C108,2025-01-05,42271,0.46,0.26,Enterprise-wide grid-enabled monitoring short
E79086,C108,2025-01-05,40566,0.27,0.05,Expanded motivating emulation evening
E37094,C108,2025-01-05,45004,0.27,0.17,Implemented client-driven time-frame generation
E66029,C109,2025-01-05,49568,0.21,0.09,Pre-emptive modular standardization little
E52241,C109,2025-01-05,22826,0.25,0.05,Intuitive responsive toolset including
E14211,C102,2025-01-06,30231,0.26,0.11,Re-engineered bifurcated open architecture girl
E37448,C113,2025-01-06,14085,0.4,0.05,Reverse-engineered interactive projection choose
E87161,C113,2025-01-06,19554,0.31,0.05,Reverse-engineered transitional service-desk majority
E93174,C113,2025-01-06,34951,0.49,0.25,Ergonomic discrete matrices sort
E82712,C109,2025-01-06,27152,0.45,0.17,Team-oriented modular website poor
E10934,C109,2025-01-06,24010,0.33,0.13,Innovative executive contingency team
E62515,C106,2025-01-06,48847,0.41,0.15,Cross-platform context-sensitive groupware soon
E36089,C106,2025-01-06,32595,0.4,0.1,Cross-platform incremental support effort
E96070,C106,2025-01-06,45354,0.45,0.18,Proactive foreground toolset reduce
E88095,C112,2025-01-06,18789,0.43,0.21,Upgradable intangible hub total
E56283,C112,2025-01-06,37527,0.46,0.13,Operative coherent Graphical User Interface power
E28198,C107,2025-01-06,21779,0.28,0.09,Compatible explicit focus group start
E63687,C107,2025-01-06,34654,0.37,0.19,Switchable tangible analyzer reach
E63193,C107,2025-01-06,41692,0.31,0.17,Proactive web-enabled budgetary management mention
E81889,C103,2025-01-06,30106,0.44,0.23,Function-based uniform workforce authority
E70526,C103,2025-01-06,42514,0.23,0.12,Function-based asynchronous conglomeration artist
E11987,C103,2025-01-06,17571,0.32,0.18,Exclusive tertiary focus group and
E98611,C101,2025-01-07,18761,0.27,0.12,Managed actuating ability forward
E77806,C101,2025-01-07,40710,0.49,0.05,Face-to-face exuding focus group situation
E52228,C106,2025-01-07,38653,0.43,0.14,User-centric interactive core management
E20579,C106,2025-01-07,23271,0.33,0.1,Fundamental asynchronous software mind
E33931,C106,2025-01-07,11618,0.45,0.15,Polarized system-worthy emulation write
E37094,C108,2025-01-07,48801,0.39,0.22,Self-enabling grid-enabled forecast open
E36554,C108,2025-01-07,16550,0.46,0.2,User-centric well-modulated challenge everyone
E19744,C108,2025-01-07,19253,0.28,0.14,Extended optimizing matrix relationship
E39578,C103,2025-01-07,13691,0.48,0.18,Programmable analyzing protocol prove
E76523,C103,2025-01-07,28156,0.27,0.14,Configurable well-modulated methodology executive
E83699,C107,2025-01-07,19285,0.35,0.07,User-friendly foreground core sure
E42713,C107,2025-01-07,14085,0.46,0.05,Cross-group dynamic solution decade
E80312,C107,2025-01-07,28040,0.2,0.05,Customizable regional structure win
E35308,C102,2025-01-07,43692,0.27,0.13,Quality-focused executive middleware yeah
E83290,C110,2025-01-08,29538,0.43,0.05,Balanced client-driven system engine PM
